firstAuthor,accessionId,reportedTrait,Samplesize,summaryStatistics
Chen Y,GCST90199641,Glucuronate levels,7988,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199641/GCST90199641_buildGRCh38.tsv.gz
Chen Y,GCST90199642,Ribitol levels,8128,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199642/GCST90199642_buildGRCh38.tsv.gz
Chen Y,GCST90199643,Glycodeoxycholate levels,6877,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199643/GCST90199643_buildGRCh38.tsv.gz
Chen Y,GCST90199644,Theobromine levels,8137,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199644/GCST90199644_buildGRCh38.tsv.gz
Chen Y,GCST90199645,Quinate levels,8200,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199645/GCST90199645_buildGRCh38.tsv.gz
Chen Y,GCST90199646,Gentisate levels,8013,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199646/GCST90199646_buildGRCh38.tsv.gz
Chen Y,GCST90199647,Theophylline levels,7822,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199647/GCST90199647_buildGRCh38.tsv.gz
Chen Y,GCST90199648,"1,5-anhydroglucitol (1,5-ag) levels",8139,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199648/GCST90199648_buildGRCh38.tsv.gz
Chen Y,GCST90199649,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) levels,8134,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199649/GCST90199649_buildGRCh38.tsv.gz
Chen Y,GCST90199650,Indolelactate levels,8233,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199650/GCST90199650_buildGRCh38.tsv.gz
Chen Y,GCST90199651,Docosahexaenoate DHA; 22:6n3 levels,8279,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199651/GCST90199651_buildGRCh38.tsv.gz
Chen Y,GCST90199652,1-stearoyl-2-oleoyl-GPS (18:0/18:1) levels,8055,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199652/GCST90199652_buildGRCh38.tsv.gz
Chen Y,GCST90199653,1-myristoyl-2-palmitoyl-gpc (14:0/16:0) levels,8271,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199653/GCST90199653_buildGRCh38.tsv.gz
Chen Y,GCST90199654,Paraxanthine levels in elite athletes,7840,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199654/GCST90199654_buildGRCh38.tsv.gz
Chen Y,GCST90199655,4-methyl-2-oxopentanoate levels,8255,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199655/GCST90199655_buildGRCh38.tsv.gz
Chen Y,GCST90199656,3-indoxyl sulfate levels,8242,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199656/GCST90199656_buildGRCh38.tsv.gz
Chen Y,GCST90199657,Sphingosine 1-phosphate levels,8246,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199657/GCST90199657_buildGRCh38.tsv.gz
Chen Y,GCST90199658,Alpha-hydroxyisocaproate levels,8250,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199658/GCST90199658_buildGRCh38.tsv.gz
Chen Y,GCST90199659,1-stearoyl-GPI (18:0) levels,8260,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199659/GCST90199659_buildGRCh38.tsv.gz
Chen Y,GCST90199660,"1,2-dipalmitoyl-gpc (16:0/16:0) levels",8264,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199660/GCST90199660_buildGRCh38.tsv.gz
Chen Y,GCST90199661,Maleate levels,8171,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199661/GCST90199661_buildGRCh38.tsv.gz
Chen Y,GCST90199662,Isovalerate (i5:0) levels,7862,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199662/GCST90199662_buildGRCh38.tsv.gz
Chen Y,GCST90199663,4-acetylphenol sulfate levels,7135,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199663/GCST90199663_buildGRCh38.tsv.gz
Chen Y,GCST90199664,Phenyllactate (PLA) levels in elite athletes,8235,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199664/GCST90199664_buildGRCh38.tsv.gz
Chen Y,GCST90199665,N-acetylaspartate (naa) levels,8148,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199665/GCST90199665_buildGRCh38.tsv.gz
Chen Y,GCST90199666,Palmitoylcarnitine levels (Metabolon platform),8256,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199666/GCST90199666_buildGRCh38.tsv.gz
Chen Y,GCST90199667,Erythritol levels in elite athletes,8167,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199667/GCST90199667_buildGRCh38.tsv.gz
Chen Y,GCST90199668,Hexanoylcarnitine levels (Biocrates platform),8242,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199668/GCST90199668_buildGRCh38.tsv.gz
Chen Y,GCST90199669,Acetylcarnitine levels (Biocrates platform),8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199669/GCST90199669_buildGRCh38.tsv.gz
Chen Y,GCST90199670,Iminodiacetate (IDA) levels,8213,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199670/GCST90199670_buildGRCh38.tsv.gz
Chen Y,GCST90199671,Cysteine s-sulfate levels,8229,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199671/GCST90199671_buildGRCh38.tsv.gz
Chen Y,GCST90199672,Oxalate (ethanedioate) levels,8181,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199672/GCST90199672_buildGRCh38.tsv.gz
Chen Y,GCST90199673,DHEAS levels,8228,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199673/GCST90199673_buildGRCh38.tsv.gz
Chen Y,GCST90199674,3-hydroxymyristate levels,8235,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199674/GCST90199674_buildGRCh38.tsv.gz
Chen Y,GCST90199675,Homoarginine levels,8265,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199675/GCST90199675_buildGRCh38.tsv.gz
Chen Y,GCST90199676,1-oleoylglycerol (18:1) levels,8225,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199676/GCST90199676_buildGRCh38.tsv.gz
Chen Y,GCST90199677,3-methyl-2-oxobutyrate levels,8254,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199677/GCST90199677_buildGRCh38.tsv.gz
Chen Y,GCST90199678,Tartronate (hydroxymalonate) levels,8125,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199678/GCST90199678_buildGRCh38.tsv.gz
Chen Y,GCST90199679,"2,3-dihydroxypyridine levels",6496,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199679/GCST90199679_buildGRCh38.tsv.gz
Chen Y,GCST90199680,3-hydroxyoctanoate levels,8182,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199680/GCST90199680_buildGRCh38.tsv.gz
Chen Y,GCST90199681,2-hydroxyoctanoate levels,8224,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199681/GCST90199681_buildGRCh38.tsv.gz
Chen Y,GCST90199682,Homocitrulline levels,7998,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199682/GCST90199682_buildGRCh38.tsv.gz
Chen Y,GCST90199683,Indoleacetate levels,8208,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199683/GCST90199683_buildGRCh38.tsv.gz
Chen Y,GCST90199684,1-linoleoylglycerol (18:2) levels,8212,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199684/GCST90199684_buildGRCh38.tsv.gz
Chen Y,GCST90199685,2-linoleoylglycerol (18:2) levels,6378,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199685/GCST90199685_buildGRCh38.tsv.gz
Chen Y,GCST90199686,Indolepropionate levels,8153,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199686/GCST90199686_buildGRCh38.tsv.gz
Chen Y,GCST90199687,Threonate levels,8151,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199687/GCST90199687_buildGRCh38.tsv.gz
Chen Y,GCST90199688,N-acetylglycine levels,8250,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199688/GCST90199688_buildGRCh38.tsv.gz
Chen Y,GCST90199689,Glycolithocholate levels,7158,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199689/GCST90199689_buildGRCh38.tsv.gz
Chen Y,GCST90199690,EDTA levels,8239,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199690/GCST90199690_buildGRCh38.tsv.gz
Chen Y,GCST90199691,1-methylhistidine levels,8226,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199691/GCST90199691_buildGRCh38.tsv.gz
Chen Y,GCST90199692,Citramalate levels,7125,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199692/GCST90199692_buildGRCh38.tsv.gz
Chen Y,GCST90199693,3-hydroxydecanoate levels,8239,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199693/GCST90199693_buildGRCh38.tsv.gz
Chen Y,GCST90199694,"1,3-dimethylurate levels",7444,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199694/GCST90199694_buildGRCh38.tsv.gz
Chen Y,GCST90199695,Galactonate levels,7518,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199695/GCST90199695_buildGRCh38.tsv.gz
Chen Y,GCST90199696,Trigonelline levels,8272,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199696/GCST90199696_buildGRCh38.tsv.gz
Chen Y,GCST90199697,Dodecanedioate levels,8240,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199697/GCST90199697_buildGRCh38.tsv.gz
Chen Y,GCST90199698,Isobutyrylcarnitine (c4) levels,8243,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199698/GCST90199698_buildGRCh38.tsv.gz
Chen Y,GCST90199699,3-methylxanthine levels,8085,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199699/GCST90199699_buildGRCh38.tsv.gz
Chen Y,GCST90199700,3-hydroxylaurate levels,8206,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199700/GCST90199700_buildGRCh38.tsv.gz
Chen Y,GCST90199701,Pyridoxate levels,8089,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199701/GCST90199701_buildGRCh38.tsv.gz
Chen Y,GCST90199702,5-hydroxyhexanoate levels,7097,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199702/GCST90199702_buildGRCh38.tsv.gz
Chen Y,GCST90199703,Gamma-glutamylvaline levels,8179,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199703/GCST90199703_buildGRCh38.tsv.gz
Chen Y,GCST90199704,3-hydroxysebacate levels,7325,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199704/GCST90199704_buildGRCh38.tsv.gz
Chen Y,GCST90199705,Propionylglycine levels,7311,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199705/GCST90199705_buildGRCh38.tsv.gz
Chen Y,GCST90199706,Butyrylglycine levels,6044,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199706/GCST90199706_buildGRCh38.tsv.gz
Chen Y,GCST90199707,Pro-hydroxy-pro levels,8208,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199707/GCST90199707_buildGRCh38.tsv.gz
Chen Y,GCST90199708,Propionylcarnitine (c3) levels,8273,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199708/GCST90199708_buildGRCh38.tsv.gz
Chen Y,GCST90199709,Adrenate (22:4n6) levels,8279,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199709/GCST90199709_buildGRCh38.tsv.gz
Chen Y,GCST90199710,Docosatrienoate (22:3n3) levels,6511,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199710/GCST90199710_buildGRCh38.tsv.gz
Chen Y,GCST90199711,Docosadienoate (22:2n6) levels,8264,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199711/GCST90199711_buildGRCh38.tsv.gz
Chen Y,GCST90199712,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) levels,8270,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199712/GCST90199712_buildGRCh38.tsv.gz
Chen Y,GCST90199713,Docosapentaenoate n3 DPA; 22:5n3 levels,8284,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199713/GCST90199713_buildGRCh38.tsv.gz
Chen Y,GCST90199714,3-hydroxy-2-ethylpropionate levels,8238,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199714/GCST90199714_buildGRCh38.tsv.gz
Chen Y,GCST90199715,Myristoleate (14:1n5) levels,8255,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199715/GCST90199715_buildGRCh38.tsv.gz
Chen Y,GCST90199716,10-undecenoate (11:1n1) levels,8243,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199716/GCST90199716_buildGRCh38.tsv.gz
Chen Y,GCST90199717,1-methyl-4-imidazoleacetate levels,8090,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199717/GCST90199717_buildGRCh38.tsv.gz
Chen Y,GCST90199718,Sebacate (C10-DC) levels,7926,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199718/GCST90199718_buildGRCh38.tsv.gz
Chen Y,GCST90199719,Tauro-beta-muricholate levels,4661,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199719/GCST90199719_buildGRCh38.tsv.gz
Chen Y,GCST90199720,Octanoylcarnitine (c8) levels,8226,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199720/GCST90199720_buildGRCh38.tsv.gz
Chen Y,GCST90199721,Stearidonate (18:4n3) levels,8240,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199721/GCST90199721_buildGRCh38.tsv.gz
Chen Y,GCST90199722,Decanoylcarnitine (C10) levels,8225,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199722/GCST90199722_buildGRCh38.tsv.gz
Chen Y,GCST90199723,5-dodecenoate (12:1n7) levels,8248,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199723/GCST90199723_buildGRCh38.tsv.gz
Chen Y,GCST90199724,N-acetylisoleucine levels,7223,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199724/GCST90199724_buildGRCh38.tsv.gz
Chen Y,GCST90199725,Campesterol levels,5300,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199725/GCST90199725_buildGRCh38.tsv.gz
Chen Y,GCST90199726,N-acetylthreonine levels,8223,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199726/GCST90199726_buildGRCh38.tsv.gz
Chen Y,GCST90199727,1-oleoyl-GPC (18:1) levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199727/GCST90199727_buildGRCh38.tsv.gz
Chen Y,GCST90199728,10-nonadecenoate (19:1n9) levels,8277,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199728/GCST90199728_buildGRCh38.tsv.gz
Chen Y,GCST90199729,Piperine levels,8155,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199729/GCST90199729_buildGRCh38.tsv.gz
Chen Y,GCST90199730,Carnitine C14 levels,8241,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199730/GCST90199730_buildGRCh38.tsv.gz
Chen Y,GCST90199731,10-heptadecenoate (17:1n7) levels,8282,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199731/GCST90199731_buildGRCh38.tsv.gz
Chen Y,GCST90199732,1-stearoyl-gpc (18:0) levels,8240,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199732/GCST90199732_buildGRCh38.tsv.gz
Chen Y,GCST90199733,1-palmitoyl-GPC (16:0) levels,8232,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199733/GCST90199733_buildGRCh38.tsv.gz
Chen Y,GCST90199734,Hyocholate levels,5782,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199734/GCST90199734_buildGRCh38.tsv.gz
Chen Y,GCST90199735,N-acetylhistidine levels,7054,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199735/GCST90199735_buildGRCh38.tsv.gz
Chen Y,GCST90199736,Alpha-hydroxyisovalerate levels,8208,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199736/GCST90199736_buildGRCh38.tsv.gz
Chen Y,GCST90199737,N-acetylproline levels,7100,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199737/GCST90199737_buildGRCh38.tsv.gz
Chen Y,GCST90199738,Stachydrine levels,8297,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199738/GCST90199738_buildGRCh38.tsv.gz
Chen Y,GCST90199739,Salicyluric glucuronide levels,5190,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199739/GCST90199739_buildGRCh38.tsv.gz
Chen Y,GCST90199740,P-cresol sulfate levels,8183,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199740/GCST90199740_buildGRCh38.tsv.gz
Chen Y,GCST90199741,Gamma-glutamylglycine levels,8263,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199741/GCST90199741_buildGRCh38.tsv.gz
Chen Y,GCST90199742,1-linoleoyl-gpc (18:2) levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199742/GCST90199742_buildGRCh38.tsv.gz
Chen Y,GCST90199743,Stearoylcarnitine levels,8133,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199743/GCST90199743_buildGRCh38.tsv.gz
Chen Y,GCST90199744,Eicosenoate (20:1) levels,8277,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199744/GCST90199744_buildGRCh38.tsv.gz
Chen Y,GCST90199745,Aconitate [cis or trans] levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199745/GCST90199745_buildGRCh38.tsv.gz
Chen Y,GCST90199746,Erythronate levels,8198,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199746/GCST90199746_buildGRCh38.tsv.gz
Chen Y,GCST90199747,Isovalerylcarnitine (C5) levels,8266,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199747/GCST90199747_buildGRCh38.tsv.gz
Chen Y,GCST90199748,Linolenate [alpha or gamma; (18:3n3 or 6)] levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199748/GCST90199748_buildGRCh38.tsv.gz
Chen Y,GCST90199749,Gamma-glutamylthreonine levels,8231,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199749/GCST90199749_buildGRCh38.tsv.gz
Chen Y,GCST90199750,Laurylcarnitine levels,8241,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199750/GCST90199750_buildGRCh38.tsv.gz
