Blood metabolites	IVW_OR	MR_Egger_OR	Weighted_median_OR	IVW_P
Taurocholic acid levels	1.098746531	1.101166882	1.129745452	0.015963023
Dodecenedioate (C12:1-DC) levels	1.069902659	0.998309213	1.041515653	0.016139233
X-26109 levels	0.960330919	0.945179236	0.94478576	0.016431619
Eicosenoate (20:1) levels	1.112309341	1.011226971	1.154370851	0.01645224
(16 or 17)-methylstearate (a19:0 or i19:0) levels	1.048000599	1.055029048	1.049157038	0.018154554
X-18922 levels	0.949883857	0.961998245	0.948945059	0.01861877
Indoleacetylglutamine levels	1.058740717	1.019350714	1.082910047	0.019193721
2-piperidinone levels	0.928902209	0.996394883	0.945816969	0.01952636
Carnitine C18:2 levels	1.039226893	1.057333834	1.046075828	0.020417548
Inosine to theophylline ratio	0.930704411	0.842854238	0.936953232	0.021643624
X-24344 levels	0.915207323	0.900532899	0.901658975	0.023907171
Carnitine to ergothioneine ratio	1.063351162	1.07937718	1.105915555	0.024292401
Phenylpyruvate to 4-hydroxyphenylpyruvate ratio	1.074846247	0.988888506	1.030539912	0.024857694
X-24970 levels	0.930056075	0.995752618	0.950812539	0.025814312
N-acetylasparagine levels	1.030273435	1.018330383	1.025690409	0.026185564
Sphingomyelin (d18:2/24:2) levels	1.07583325	1.001066214	1.073853832	0.026610805
Phosphate levels (UKB data field 30810)	0.9371121	0.902769277	0.945086326	0.027218014
Serotonin levels	1.065056547	1.071816823	1.045019317	0.02766017
Alpha-ketoglutarate to aspartate ratio	0.944008433	0.945599085	0.958036469	0.027928179
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3) levels	0.964740178	0.97389446	0.977182085	0.028092526
Behenoyl sphingomyelin (d18:1/22:0) levels	1.081383922	1.08218914	1.075369728	0.028155972
Arachidoylcarnitine (C20) levels	1.049926838	1.019637394	1.040139542	0.028625213
1-stearoyl-GPG (18:0) levels	0.947614612	0.868049514	0.941344897	0.029046054
Sphingomyelin (d18:2/23:1) levels	1.085306937	1.053807349	1.064062738	0.029176269
Glycodeoxycholate 3-sulfate levels	0.966454215	0.970392343	0.965394857	0.0296064
X-24812 levels	0.944761509	0.96074702	0.949260438	0.031455895
Arginine to ornithine ratio	1.057453411	1.080841427	1.055908707	0.031995639
Dimethylarginine (sdma + adma) levels	0.933893976	0.930394935	0.910856108	0.032788999
Catechol sulfate levels	0.939923706	0.913396468	0.925839428	0.033143306
N-acetyl-aspartyl-glutamate (naag) levels	0.956130703	0.934479554	0.932968939	0.03361507
Taurodeoxycholate levels	1.067193163	1.058332712	1.05087905	0.03367999
"9,10-DiHOME levels"	0.948115328	0.927756012	0.916938665	0.0350192
Linoleate (18:2n6) levels	1.093365338	1.154244437	1.007771354	0.036095715
"N,N-dimethylalanine levels"	1.064097757	1.044577489	1.037419751	0.036923744
4-hydroxyphenylpyruvate levels	0.947924401	0.980579549	0.969390512	0.041921335
Adenosine 5'-diphosphate (ADP) to aspartate ratio	1.040776477	1.050946557	1.063950874	0.041946637
Adenosine 5'-monophosphate (AMP) to palmitate (16:0) ratio	1.081534889	1.024693161	1.097833288	0.042783803
Adipoylcarnitine (C6-DC) levels	0.940836619	0.940826579	0.991541148	0.043122402
Arginine to glutamate ratio	1.063436051	1.044902095	1.079696596	0.043252207
Cortisone levels	1.097599134	1.047347907	1.135785894	0.043701611
4-acetaminophen sulfate levels	1.048193279	1.035995272	1.017515569	0.044604405
Ximenoylcarnitine (C26:1) levels	1.043729738	1.051746506	1.050805916	0.045675493
Linoleoylcholine levels	0.873229535	1.030708785	0.916175578	0.046169457
Succinylcarnitine levels	1.044758379	1.108646	1.063078024	0.047072443
Adenosine 5'-diphosphate (ADP) to creatine ratio	1.046758436	1.079654914	1.064328678	0.048733996
2-hydroxyoctanoate levels	0.960596013	0.935922093	0.945991042	0.048977291
5-hydroxyhexanoate levels	1.057774577	1.027881422	1.064752735	0.049049484
3-hydroxypyridine glucuronide levels	1.056152365	1.144526758	1.058209564	0.049104259
2'-o-methylcytidine levels	0.973050782	1.000677989	0.989122452	0.049717864
